Rank,Player,GWD,Years,Tm,Link
1,Tom Brady,14,2000-2021,2TM,View Game-Winning Drives
2,John Elway+,6,1983-1998,den,View Game-Winning Drives
3,Eli Manning,5,2004-2019,nyg,View Game-Winning Drives
,Joe Montana+,5,1979-1994,2TM,View Game-Winning Drives
5,Terry Bradshaw+,4,1970-1983,pit,View Game-Winning Drives
,Dan Marino+,4,1983-1999,mia,View Game-Winning Drives
,Ben Roethlisberger,4,2004-2021,pit,View Game-Winning Drives
,Russell Wilson,4,2012-2021,sea,View Game-Winning Drives
9,Kurt Warner+,3,1998-2009,2TM,View Game-Winning Drives
,Matthew Stafford,3,2009-2021,2TM,View Game-Winning Drives
,Ken Stabler+,3,1970-1984,2TM,View Game-Winning Drives
,Dan Fouts+,3,1973-1987,sdg,View Game-Winning Drives
,Drew Brees,3,2001-2020,2TM,View Game-Winning Drives
14,Joe Theismann,2,1974-1985,was,View Game-Winning Drives
,Danny White,2,1976-1988,dal,View Game-Winning Drives
,Norm Van Brocklin+,2,1949-1960,2TM,View Game-Winning Drives
,Johnny Unitas+,2,1956-1973,clt,View Game-Winning Drives
,Roger Staubach+,2,1969-1979,dal,View Game-Winning Drives
,Mark Sanchez,2,2009-2018,nyj,View Game-Winning Drives
,Aaron Rodgers,2,2005-2021,gnb,View Game-Winning Drives
,Earl Morrall,2,1956-1976,2TM,View Game-Winning Drives
,Warren Moon+,2,1984-2000,2TM,View Game-Winning Drives
,Steve McNair,2,1995-2007,2TM,View Game-Winning Drives
,Peyton Manning+,2,1998-2015,2TM,View Game-Winning Drives
,Patrick Mahomes,2,2017-2021,kan,View Game-Winning Drives
,Stan Humphries,2,1989-1997,sdg,View Game-Winning Drives
,Joe Burrow,2,2020-2021,cin,View Game-Winning Drives
,Randall Cunningham,2,1985-2001,2TM,View Game-Winning Drives
,Len Dawson+,2,1957-1975,kan,View Game-Winning Drives
,Brett Favre+,2,1991-2010,2TM,View Game-Winning Drives
,Colin Kaepernick,2,2011-2016,sfo,View Game-Winning Drives
,Joe Flacco,2,2008-2021,rav,View Game-Winning Drives
,Nick Foles,2,2012-2021,phi,View Game-Winning Drives
,Jeff Garcia,2,1999-2009,3TM,View Game-Winning Drives
,Otto Graham+,2,1946-1955,cle,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Matt Hasselbeck,2,1999-2015,sea,View Game-Winning Drives
,Jeff Hostetler,2,1985-1997,2TM,View Game-Winning Drives
38,Frank Reich,1,1985-1998,2TM,View Game-Winning Drives
,Sid Luckman+,1,1939-1950,chi,View Game-Winning Drives
,Dak Prescott,1,2016-2021,dal,View Game-Winning Drives
,Jim Plunkett,1,1971-1986,rai,View Game-Winning Drives
,Chad Pennington,1,2000-2010,2TM,View Game-Winning Drives
,Dan Pastorini,1,1971-1983,oti,View Game-Winning Drives
,Carson Palmer,1,2004-2017,2TM,View Game-Winning Drives
,Neil O'Donnell,1,1991-2003,2TM,View Game-Winning Drives
,Joe Namath+,1,1965-1977,nyj,View Game-Winning Drives
,Craig Morton,1,1965-1982,2TM,View Game-Winning Drives
,Chris Miller,1,1987-1999,atl,View Game-Winning Drives
,Donovan McNabb,1,1999-2011,phi,View Game-Winning Drives
,Marcus Mariota,1,2015-2021,2TM,View Game-Winning Drives
,Mark Malone,1,1980-1989,pit,View Game-Winning Drives
,Tommy Maddox,1,1992-2005,2TM,View Game-Winning Drives
,Philip Rivers,1,2004-2020,2TM,View Game-Winning Drives
,Tony Romo,1,2004-2016,dal,View Game-Winning Drives
,Tobin Rote,1,1950-1966,2TM,View Game-Winning Drives
,Matt Ryan,1,2008-2021,atl,View Game-Winning Drives
,Jay Schroeder,1,1985-1994,2TM,View Game-Winning Drives
,Alex Smith,1,2005-2020,2TM,View Game-Winning Drives
,Bart Starr+,1,1956-1971,gnb,View Game-Winning Drives
,Fran Tarkenton+,1,1961-1978,min,View Game-Winning Drives
,Tim Tebow,1,2010-2012,den,View Game-Winning Drives
,Tommy Thompson,1,1940-1950,phi,View Game-Winning Drives
,Richard Todd,1,1976-1985,nyj,View Game-Winning Drives
,Billy Volek,1,2001-2011,sdg,View Game-Winning Drives
,Deshaun Watson,1,2017-2020,htx,View Game-Winning Drives
,Doug Williams,1,1978-1989,2TM,View Game-Winning Drives
,Steve Young+,1,1985-1999,sfo,View Game-Winning Drives
,David Garrard,1,2002-2010,jax,View Game-Winning Drives
,Troy Aikman+,1,1989-2000,dal,View Game-Winning Drives
,Ken Anderson,1,1971-1986,cin,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Steve Bartkowski,1,1975-1986,atl,View Game-Winning Drives
,Zeke Bratkowski,1,1954-1971,gnb,View Game-Winning Drives
,Bubby Brister,1,1986-2000,3TM,View Game-Winning Drives
,Mark Brunell,1,1994-2011,4TM,View Game-Winning Drives
,Marc Bulger,1,2002-2009,ram,View Game-Winning Drives
,Chris Chandler,1,1988-2004,atl,View Game-Winning Drives
,Kirk Cousins,1,2012-2021,2TM,View Game-Winning Drives
,Jake Delhomme,1,1999-2011,car,View Game-Winning Drives
,Jim Everett,1,1986-1997,ram,View Game-Winning Drives
,Vince Ferragamo,1,1977-1986,ram,View Game-Winning Drives
,Jay Fiedler,1,1995-2005,3TM,View Game-Winning Drives
,Jimmy Garoppolo,1,2014-2021,2TM,View Game-Winning Drives
,Andrew Luck,1,2012-2018,clt,View Game-Winning Drives
,Jared Goff,1,2016-2021,ram,View Game-Winning Drives
,Bob Griese+,1,1967-1980,mia,View Game-Winning Drives
,Rex Grossman,1,2003-2011,chi,View Game-Winning Drives
,Pat Haden,1,1976-1981,ram,View Game-Winning Drives
,James Harris,1,1969-1979,ram,View Game-Winning Drives
,Ron Jaworski,1,1974-1989,2TM,View Game-Winning Drives
,Joe Kapp,1,1967-1970,min,View Game-Winning Drives
,Case Keenum,1,2013-2021,min,View Game-Winning Drives
,Jim Kelly+,1,1986-1996,buf,View Game-Winning Drives
,Shaun King,1,1999-2004,tam,View Game-Winning Drives
,Bernie Kosar,1,1985-1996,3TM,View Game-Winning Drives
,Tommy Kramer,1,1977-1990,min,View Game-Winning Drives
,Dave Krieg,1,1980-1998,3TM,View Game-Winning Drives
,Bobby Layne+,1,1948-1962,det,View Game-Winning Drives
