Rank,Player,GWD,Years,Tm,Link
1,Peyton Manning+,54,1998-2015,2TM,View Game-Winning Drives
2,Tom Brady,53,2000-2021,2TM,View Game-Winning Drives
,Drew Brees,53,2001-2020,2TM,View Game-Winning Drives
,Ben Roethlisberger,53,2004-2021,pit,View Game-Winning Drives
5,Dan Marino+,47,1983-1999,mia,View Game-Winning Drives
6,Brett Favre+,43,1991-2010,4TM,View Game-Winning Drives
7,Matt Ryan,42,2008-2021,atl,View Game-Winning Drives
,Matthew Stafford,42,2009-2021,2TM,View Game-Winning Drives
9,John Elway+,40,1983-1998,den,View Game-Winning Drives
10,Johnny Unitas+,38,1956-1973,2TM,View Game-Winning Drives
11,Eli Manning,37,2004-2019,nyg,View Game-Winning Drives
12,Warren Moon+,35,1984-2000,4TM,View Game-Winning Drives
,Carson Palmer,35,2004-2017,3TM,View Game-Winning Drives
,Philip Rivers,35,2004-2020,2TM,View Game-Winning Drives
15,Fran Tarkenton+,33,1961-1978,2TM,View Game-Winning Drives
,Vinny Testaverde,33,1987-2007,7TM,View Game-Winning Drives
17,Russell Wilson,32,2012-2021,sea,View Game-Winning Drives
18,Drew Bledsoe,31,1993-2006,3TM,View Game-Winning Drives
19,Derek Carr,30,2014-2021,rai,View Game-Winning Drives
,Kerry Collins,30,1995-2011,6TM,View Game-Winning Drives
,Jake Plummer,30,1997-2006,2TM,View Game-Winning Drives
22,Tony Romo,29,2004-2016,dal,View Game-Winning Drives
23,Jay Cutler,28,2006-2017,3TM,View Game-Winning Drives
,Andy Dalton,28,2011-2021,3TM,View Game-Winning Drives
,Jim Kelly+,28,1986-1996,buf,View Game-Winning Drives
,Joe Montana+,28,1979-1994,2TM,View Game-Winning Drives
27,Brad Johnson,27,1994-2008,4TM,View Game-Winning Drives
,Aaron Rodgers,27,2005-2021,gnb,View Game-Winning Drives
29,Boomer Esiason,26,1984-1997,3TM,View Game-Winning Drives
,Ryan Tannehill,26,2012-2021,2TM,View Game-Winning Drives
31,Dave Krieg,25,1980-1998,6TM,View Game-Winning Drives
32,Randall Cunningham,24,1985-2001,4TM,View Game-Winning Drives
,Steve DeBerg,24,1978-1998,6TM,View Game-Winning Drives
,Jake Delhomme,24,1999-2011,4TM,View Game-Winning Drives
,Joe Ferguson,24,1973-1990,4TM,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Joe Flacco,24,2008-2021,3TM,View Game-Winning Drives
,Matt Hasselbeck,24,1999-2015,4TM,View Game-Winning Drives
,Donovan McNabb,24,1999-2011,3TM,View Game-Winning Drives
39,Terry Bradshaw+,23,1970-1983,pit,View Game-Winning Drives
,Dan Fouts+,23,1973-1987,sdg,View Game-Winning Drives
,Jim Hart,23,1966-1984,2TM,View Game-Winning Drives
,Ron Jaworski,23,1974-1989,4TM,View Game-Winning Drives
,Brian Sipe,23,1974-1983,cle,View Game-Winning Drives
,Alex Smith,23,2005-2020,3TM,View Game-Winning Drives
,Ken Stabler+,23,1970-1984,3TM,View Game-Winning Drives
,Y.A. Tittle+,23,1948-1964,3TM,View Game-Winning Drives
47,John Brodie,22,1957-1973,sfo,View Game-Winning Drives
,Mark Brunell,22,1994-2011,5TM,View Game-Winning Drives
,Jon Kitna,22,1997-2011,4TM,View Game-Winning Drives
,Jim Plunkett,22,1971-1986,3TM,View Game-Winning Drives
,Joe Theismann,22,1974-1985,was,View Game-Winning Drives
52,Steve Bartkowski,21,1975-1986,2TM,View Game-Winning Drives
,Steve McNair,21,1995-2007,2TM,View Game-Winning Drives
,Craig Morton,21,1965-1982,3TM,View Game-Winning Drives
,Roger Staubach+,21,1969-1979,dal,View Game-Winning Drives
56,Troy Aikman+,20,1989-2000,dal,View Game-Winning Drives
,Kirk Cousins,20,2012-2021,2TM,View Game-Winning Drives
,Rich Gannon,20,1987-2004,4TM,View Game-Winning Drives
,Steve Grogan,20,1975-1990,nwe,View Game-Winning Drives
,Andrew Luck,20,2012-2018,clt,View Game-Winning Drives
,Cam Newton,20,2011-2021,2TM,View Game-Winning Drives
,Doug Williams,20,1978-1989,2TM,View Game-Winning Drives
63,Trent Green,19,1997-2008,4TM,View Game-Winning Drives
,Bob Griese+,19,1967-1980,mia,View Game-Winning Drives
,Jim Harbaugh,19,1987-2000,4TM,View Game-Winning Drives
,Tommy Kramer,19,1977-1990,2TM,View Game-Winning Drives
,Dan Pastorini,19,1971-1983,4TM,View Game-Winning Drives
,Norm Snead,19,1961-1976,5TM,View Game-Winning Drives
69,Aaron Brooks,18,2000-2006,2TM,View Game-Winning Drives
,Lynn Dickey,18,1971-1985,2TM,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Ryan Fitzpatrick,18,2005-2021,9TM,View Game-Winning Drives
,Bobby Layne+,18,1948-1962,4TM,View Game-Winning Drives
,Neil O'Donnell,18,1991-2003,4TM,View Game-Winning Drives
74,George Blanda+,17,1949-1975,4TM,View Game-Winning Drives
,Daunte Culpepper,17,1999-2009,4TM,View Game-Winning Drives
,Jeff Garcia,17,1999-2009,5TM,View Game-Winning Drives
,David Garrard,17,2002-2010,jax,View Game-Winning Drives
,Jeff George,17,1990-2001,5TM,View Game-Winning Drives
,Charley Johnson,17,1961-1975,3TM,View Game-Winning Drives
,Daryle Lamonica,17,1963-1974,2TM,View Game-Winning Drives
,Dak Prescott,17,2016-2021,dal,View Game-Winning Drives
,Jay Schroeder,17,1985-1994,4TM,View Game-Winning Drives
,Phil Simms,17,1979-1993,nyg,View Game-Winning Drives
,Bart Starr+,17,1956-1971,gnb,View Game-Winning Drives
85,Steve Beuerlein,16,1988-2003,6TM,View Game-Winning Drives
,Jeff Blake,16,1992-2005,7TM,View Game-Winning Drives
,Marc Bulger,16,2002-2009,ram,View Game-Winning Drives
,Charlie Conerly,16,1948-1961,nyg,View Game-Winning Drives
,Len Dawson+,16,1957-1975,3TM,View Game-Winning Drives
,Bobby Hebert,16,1985-1996,2TM,View Game-Winning Drives
,Billy Kilmer,16,1961-1978,3TM,View Game-Winning Drives
,Bernie Kosar,16,1985-1996,3TM,View Game-Winning Drives
,Ken O'Brien,16,1984-1993,2TM,View Game-Winning Drives
,Norm Van Brocklin+,16,1949-1960,2TM,View Game-Winning Drives
,Steve Young+,16,1985-1999,2TM,View Game-Winning Drives
96,Chris Chandler,15,1988-2004,7TM,View Game-Winning Drives
,Trent Dilfer,15,1994-2007,5TM,View Game-Winning Drives
,Roman Gabriel,15,1962-1977,2TM,View Game-Winning Drives
,John Hadl,15,1962-1977,4TM,View Game-Winning Drives
,Joe Namath+,15,1965-1977,2TM,View Game-Winning Drives
,Michael Vick,15,2001-2015,4TM,View Game-Winning Drives
102,Ken Anderson,14,1971-1986,cin,View Game-Winning Drives
,Ed Brown,14,1954-1965,3TM,View Game-Winning Drives
,Jim Everett,14,1986-1997,3TM,View Game-Winning Drives
,Sonny Jurgensen+,14,1957-1974,2TM,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Erik Kramer,14,1987-1999,4TM,View Game-Winning Drives
,Jim McMahon,14,1982-1996,6TM,View Game-Winning Drives
,Rodney Peete,14,1989-2004,6TM,View Game-Winning Drives
